ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,4/11/2025,4,0,0,25.5,3.590029955,3.590029955,1.858399987,1.731629968,1,0.413345009,6.78181982,4.200600147,0.298000008,,,0.419999987,0.997313976,10.47360039,5091.72998,12601.7998,
2,4/11/2025,4,0,0,25.5,6.445089817,6.445089817,2.474780083,3.970309973,1,0.851933002,6.820059776,4.673480034,0.272000015,,,0.518000007,0.997192025,10.57429981,5092.930176,12598.59961,
3,4/11/2025,4,0,0,25.5,4.034369946,4.034369946,1.611529946,2.422840118,1,0.697336972,5.207680225,3.48548007,0.254000008,,,0.458000004,0.996825993,10.07079983,5089.029785,12592.5,
4,4/11/2025,4,0,0,24.5,9.876379967,9.826089859,3.211790085,6.614299774,1,1.54606998,6.01211977,4.289400101,0.244000003,,,0.689999998,0.997375011,10.82610035,5089.149902,12612.7002,
5,4/11/2025,4,0,0,24.5,8.941320419,8.89577961,2.882179976,6.013599873,1,1.455960035,5.835949898,4.139689922,0.238000005,,,0.662,0.997741997,11.07789993,5092.430176,12614.7002,
6,4/11/2025,4,0,0,24.5,6.282929897,6.250939846,2.472069979,3.778870106,1,0.873880029,6.310029984,4.335350037,0.296000004,,,0.547999978,0.997437,10.92679977,5089.649902,12610.2998,
7,4/11/2025,4,0,0,24.5,4.335969925,4.31388998,2.118819952,2.195070028,1,0.539444983,6.294730186,4.079329967,0.331999987,,,0.49000001,0.997497976,10.82610035,5089.089844,12607.7998,
8,4/11/2025,4,0,0,24.5,8.362549782,8.319959641,2.929019928,5.390950203,1,1.304710031,5.857610226,4.142519951,0.316000015,,,0.691999972,0.997437,10.87650013,5090.040039,12604.2002,
9,4/11/2025,4,0,0,24.5,6.496890068,6.463799953,3.018399954,3.4454,1,0.970363021,5.158400059,3.559540033,0.465999991,,,0.75,0.997497976,10.77579975,5091.22998,12605,
10,4/11/2025,4,0,0,24.5,9.647120476,9.597990036,3.190370083,6.407619953,1,1.776540041,5.039519787,3.615410089,0.289999992,,,0.80400002,0.997619987,10.82610035,5090.160156,12610.2998,
11,4/11/2025,4,0,0,25,6.867459774,6.849979877,2.474930048,4.375040054,1,1.18701005,5.254109859,3.694570065,0.296000004,,,0.638000011,0.997619987,10.87650013,5091.359863,12612.2998,
12,4/11/2025,4,0,0,25,9.189889908,9.166489601,2.973150015,6.193339825,1,1.63101995,5.327829838,3.807440042,0.277999997,,,0.75,0.997313976,10.67500019,5090.350098,12603.40039,
13,4/11/2025,4,0,0,25,5.296919823,5.283430099,2.585710049,2.697720051,1,0.738237023,5.427490234,3.664340019,0.432000011,,,0.646000028,0.997253001,10.47360039,5085,12595.2998,
14,4/11/2025,4,0,0,25,7.247029781,7.228579998,2.720419884,4.508160114,1,1.144209981,5.652639866,3.950330019,0.333999991,,,0.667999983,0.997375011,10.62469959,5090.290039,12600.59961,
15,4/11/2025,4,0,0,25,9.410209656,9.386249542,2.952739954,6.433499813,1,1.840929985,4.896359921,3.503900051,0.257999986,,,0.797999978,0.997375011,10.62469959,5089.720215,12604.59961,
16,4/11/2025,4,0,0,25.5,3.010090113,3.010090113,1.710049987,1.300040007,1,0.371740997,5.752359867,3.506580114,0.335999995,,,0.444000006,0.997313976,10.52400017,5090.470215,12600.59961,
17,4/11/2025,4,0,0,25.5,4.685140133,4.685140133,2.263220072,2.421920061,1,0.658859015,5.519499779,3.686059952,0.379999995,,,0.569999993,0.997253001,10.52400017,5087.959961,12594.90039,
18,4/11/2025,4,0,0,25.5,8.086770058,8.086770058,2.782690048,5.304080009,1,1.463760018,5.112450123,3.63312006,0.287999988,,,0.712000012,0.997375011,10.72539997,5090.72998,12599.7998,
19,4/11/2025,4,0,0,25.5,3.387480021,3.387480021,1.572860003,1.814620018,1,0.46834299,6.135990143,3.8854599,0.270000011,,,0.407999992,0.997192025,10.52400017,5091.310059,12600.59961,
