ind,tm,sn,res,conc,temp,int,intnt,int0,intp,alg,tau,ymax,yp,tmax,tfst,texp,tend,adck,adcs,vcc,vcap,intpr
1,4/11/2025,4,0,0,22.5,10.29269981,10.13539982,4.499120235,5.636300087,1,0.63905102,13.28129959,8.841930389,0.256000012,,,0.439999998,0.997497976,11.32970047,5089.339844,12632.7998,
2,4/11/2025,4,0.001,0,23,15.7510004,15.55049992,5.988920212,9.56153965,1,1.023530006,13.47299957,9.367440224,0.280000001,,,0.575999975,0.997253001,11.17860031,5087.77002,12618.7002,
3,4/11/2025,4,0,0,23,15.12679958,14.93420029,5.422210217,9.51196003,1,1.024649978,13.43239975,9.306469917,0.224000007,,,0.523999989,0.997497976,11.38000011,5090.290039,12628.40039,
4,4/11/2025,4,0,0,23,11.9204998,11.76879978,4.89289999,6.875850201,1,0.743919015,13.7184,9.264800072,0.261999995,,,0.477999985,0.997619987,11.22889996,5090.100098,12624.7998,
5,4/11/2025,4,0.001,0,23,15.59659958,15.3980999,5.683869839,9.714189529,1,1.06238997,13.16189957,9.169429779,0.257999986,,,0.565999985,0.997192025,11.12819958,5085.879883,12619.90039,
6,4/11/2025,4,0,0,23,14.38119984,14.19810009,5.842309952,8.355779648,1,0.940217972,12.90159988,8.910460472,0.31400001,,,0.586000025,0.997375011,11.17860031,5089.089844,12623.5,
7,4/11/2025,4,0,0,23,9.323769569,9.205069542,4.245029926,4.960040092,1,0.563063025,13.52400017,8.830590248,0.257999986,,,0.421999991,0.997559011,11.27929974,5090.029785,12626.7998,
8,4/11/2025,4,0,0,23,7.981919765,7.880300045,4.225029945,3.655260086,1,0.441794008,13.16129971,8.29393959,0.312000006,,,0.439999998,0.997559011,11.43039989,5090.660156,12629.59961,
9,4/11/2025,4,0,0,23,11.95289993,11.80070019,4.628829956,7.171860218,1,0.805840015,13.10890007,8.922730446,0.244000003,,,0.477999985,0.997437,11.12819958,5087.870117,12619.09961,
10,4/11/2025,4,0,0,23,9.972169876,9.845199585,4.21446991,5.630730152,1,0.607447028,14.07139969,9.293319702,0.233999997,,,0.409999996,0.997437,11.27929974,5090.580078,12622.7002,
11,4/11/2025,4,0,0,23.5,11.39859962,11.28250027,4.691699982,6.590799809,1,0.794992983,12.21310043,8.311180115,0.257999986,,,0.488000005,0.997497976,11.22889996,5089.470215,12626.40039,
12,4/11/2025,4,0,0,23.5,12.02530003,11.90279961,4.774010181,7.128789902,1,0.754616976,13.98569965,9.472909927,0.268000007,,,0.486000001,0.997253001,11.12819958,5087.959961,12623.90039,
13,4/11/2025,4,0,0,23.5,10.71290016,10.60379982,4.486010075,6.117790222,1,0.702534974,13.00329971,8.728949547,0.261999995,,,0.465999991,0.997619987,11.38000011,5089.529785,12622.7002,
14,4/11/2025,4,0,0,23.5,11.94299984,11.82129955,4.703539848,7.117800236,1,0.799308002,13.09039974,8.926739693,0.247999996,,,0.477999985,0.997559011,11.22889996,5090.029785,12624.7998,
15,4/11/2025,4,0,0,24,10.73149967,10.64949989,4.417759895,6.231750011,1,0.67257297,13.87469959,9.287070274,0.25,,,0.444000006,0.997681022,11.43039989,5090.450195,12622.2998,
16,4/11/2025,4,0,0,24,10.78460026,10.70219994,4.810530186,5.891709805,1,0.69809401,12.59899998,8.460359573,0.284000009,,,0.486000001,0.997559011,11.22889996,5088.399902,12621.5,
17,4/11/2025,4,0,0,24,10.45839977,10.37849998,4.461490154,5.917049885,1,0.625397027,14.28100014,9.483839989,0.247999996,,,0.428000003,0.997619987,11.22889996,5088.589844,12622.2998,
18,4/11/2025,4,0,0,24,14.65439987,14.54240036,5.513140202,9.029279709,1,0.944167972,13.89360046,9.590140343,0.263999999,,,0.537999988,0.997192025,10.97719955,5086.629883,12611.5,
19,4/11/2025,4,0,0,24,10.05819988,9.981360435,4.412789822,5.568570137,1,0.617738008,13.63490009,9.038169861,0.263999999,,,0.442000002,0.997375011,11.02750015,5087.330078,12622.2998,
20,4/11/2025,4,0,0,24.5,11.71080017,11.65120029,4.887489796,6.763679981,1,0.711089015,14.17940044,9.537329674,0.268000007,,,0.474000007,0.997313976,11.02750015,5088.52002,12615.90039,
21,4/11/2025,4,0,0,24.5,10.02999973,9.97894001,4.251460075,5.727479935,1,0.624778986,13.84780025,9.192469597,0.238000005,,,0.418000013,0.997253001,10.87650013,5087.52002,12616.2998,
22,4/11/2025,4,0,0,24.5,11.86060047,11.80020046,5.017109871,6.783040047,1,0.738394022,13.64760017,9.214889526,0.282000005,,,0.495999992,0.996887028,10.82610035,5084.419922,12609.90039,
23,4/11/2025,4,0,0,24.5,14.00520039,13.93379974,5.42027998,8.513549805,1,0.91880399,13.48139954,9.291419983,0.268000007,,,0.533999979,0.997253001,10.97719955,5087.830078,12614.7002,
